direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held
short,2025-03-03 20:00:00+00:00,2025-03-18 00:00:00+00:00,149.41900634765625,151.33325437316896,143.67626227111813,149.46299743652344,3.0,-0.022980872008686065,time,fvg,240
short,2025-04-01 07:00:00+00:00,2025-04-02 20:00:00+00:00,149.6179962158203,150.2970516906738,148.17599487304688,150.2970516906738,2.1235398228466367,-1.0,stop,fvg,37
long,2025-04-04 16:00:00+00:00,2025-04-09 12:00:00+00:00,146.7169952392578,144.51509754638673,151.1479949951172,144.51509754638673,2.012354965539626,-1.0,stop,bpr,66
short,2025-04-10 15:00:00+00:00,2025-04-24 19:00:00+00:00,144.34800720214844,148.31066206054686,132.46004262695317,142.69400024414062,3.0,0.4173986928239086,time,fvg,240
long,2025-04-29 09:00:00+00:00,2025-05-01 14:00:00+00:00,142.73899841308594,142.73899841308594,145.17918179626466,145.17918179626466,3.0,2.0132852225102815,target,fvg,53
short,2025-05-13 00:00:00+00:00,2025-05-14 09:00:00+00:00,147.81399536132812,148.6807311767578,145.71200561523438,145.71200561523438,2.4251792860915806,2.4251792860915806,target,fvg,33
long,2025-05-14 15:00:00+00:00,2025-05-15 06:00:00+00:00,146.5500030517578,145.57187772521974,148.59100341796875,145.57187772521974,2.0866450452057532,-1.0,stop,fvg,15
short,2025-05-27 23:00:00+00:00,2025-05-28 01:00:00+00:00,144.13299560546875,144.48889871520996,143.2779998779297,144.48889871520996,2.4023272181037427,-1.0,stop,fvg,2
short,2025-07-02 23:00:00+00:00,2025-07-03 12:00:00+00:00,143.52000427246094,144.2728520965576,141.2614608001709,144.2728520965576,3.0,-1.0,stop,fvg,13
long,2025-07-10 13:00:00+00:00,2025-07-16 04:00:00+00:00,146.57899475097656,145.72085,149.1534290039062,149.1534290039062,3.0,3.0,target,fvg,85
short,2025-07-16 06:00:00+00:00,2025-07-17 03:00:00+00:00,148.6490020751953,148.6490020751953,147.25,148.6490020751953,2.468073277578765,0.8838466920366732,be_stop,bpr,21
short,2025-08-12 12:00:00+00:00,2025-08-14 00:00:00+00:00,148.03900146484375,148.03900146484375,147.01400756835938,147.01400756835938,2.010976746559873,1.5067656551564332,target,fvg,36
long,2025-09-04 14:00:00+00:00,2025-09-05 12:00:00+00:00,148.73399353027344,147.75443978271485,151.6726547729492,147.75443978271485,3.0,-1.0,stop,fvg,22
long,2025-09-30 00:00:00+00:00,2025-09-30 04:00:00+00:00,148.7899932861328,148.43730184020995,149.88499450683594,148.43730184020995,3.104700251059189,-1.0,stop,fvg,4
long,2025-10-13 14:00:00+00:00,2025-10-15 02:00:00+00:00,152.36300659179688,151.08877949523927,156.1856878814697,151.08877949523927,3.0,-1.0,stop,fvg,36
long,2025-10-17 14:00:00+00:00,2025-10-23 06:00:00+00:00,150.4199981689453,150.4199981689453,152.61300659179688,152.61300659179688,2.0307945439390584,1.62518953573726,target,fvg,86
long,2025-11-05 03:00:00+00:00,2025-11-06 13:00:00+00:00,153.50599670410156,153.50599670410156,155.2507543243408,153.50599670410156,3.0,0.5588247453972834,be_stop,fvg,34
long,2025-11-17 10:00:00+00:00,2025-12-01 14:00:00+00:00,154.83900451660156,153.5802702331543,158.61520736694337,154.98500061035156,3.0,0.11598642832716347,time,fvg,240
long,2025-12-01 23:00:00+00:00,2025-12-04 11:00:00+00:00,155.54800415039062,154.62806478271486,157.47799682617188,154.62806478271486,2.0979563910362815,-1.0,stop,fvg,60
short,2025-12-29 15:00:00+00:00,2025-12-31 13:00:00+00:00,155.93600463867188,156.76134172668458,153.45999337463377,156.76134172668458,3.0,-1.0,stop,fvg,46
short,2026-01-14 14:00:00+00:00,2026-01-26 01:00:00+00:00,158.20799255371094,158.20799255371094,154.37129172058104,154.37129172058104,3.0,2.057508234965865,target,fvg,177
short,2026-02-05 13:00:00+00:00,2026-02-10 14:00:00+00:00,156.593994140625,156.593994140625,154.36199951171875,154.36199951171875,2.881930932971471,2.0329714050807666,target,fvg,71
short,2026-02-17 00:00:00+00:00,2026-02-17 15:00:00+00:00,153.17799377441406,153.78775518493651,151.3487095428467,153.78775518493651,3.0,-1.0,stop,fvg,15
short,2026-02-24 16:00:00+00:00,2026-02-25 09:00:00+00:00,155.66299438476562,156.31226206054689,154.3419952392578,156.31226206054689,2.0345986636686653,-1.0,stop,fvg,17
long,2026-03-05 05:00:00+00:00,2026-03-13 04:00:00+00:00,157.18699645996094,157.18699645996094,159.5158470123291,159.5158470123291,3.0,2.0036804615063435,target,fvg,141
long,2026-03-17 01:00:00+00:00,2026-03-17 13:00:00+00:00,159.375,158.81123371887207,161.06629884338378,158.81123371887207,3.0,-1.0,stop,fvg,12
long,2026-03-18 12:00:00+00:00,2026-03-19 13:00:00+00:00,159.44400024414062,158.52929243774415,162.18812366333006,158.52929243774415,3.0,-1.0,stop,fvg,25
long,2026-04-06 14:00:00+00:00,2026-04-07 22:00:00+00:00,159.7030029296875,159.26114066772462,161.02858971557615,159.26114066772462,3.0,-1.0,stop,fvg,32
short,2026-04-17 12:00:00+00:00,2026-04-21 17:00:00+00:00,158.41400146484375,159.5609127593994,154.9732675811768,159.5609127593994,3.0,-1.0,stop,fvg,49
short,2026-05-06 00:00:00+00:00,2026-05-06 05:00:00+00:00,157.59100341796875,157.59100341796875,156.51800537109375,156.51800537109375,2.8954929626180532,2.141273045151118,target,fvg,5
short,2026-05-08 12:00:00+00:00,2026-05-11 00:00:00+00:00,156.64199829101562,157.02340279541016,155.7030029296875,157.02340279541016,2.4619409328128823,-1.0,stop,fvg,10
long,2026-05-12 15:00:00+00:00,2026-05-26 19:00:00+00:00,157.70599365234375,156.6756593322754,160.72300720214844,159.3159942626953,2.928188929593754,1.5626001958711215,time,fvg,240
long,2026-05-29 01:00:00+00:00,2026-06-03 16:00:00+00:00,159.3159942626953,159.3159942626953,160.0444528656006,160.0444528656006,3.0,2.0436291794203116,target,fvg,86
long,2026-06-05 20:00:00+00:00,2026-06-11 19:00:00+00:00,160.29299926757812,159.67405245361329,162.14983970947264,159.67405245361329,3.0,-1.0,stop,fvg,93
long,2026-06-15 06:00:00+00:00,2026-06-17 08:00:00+00:00,160.125,160.125,160.96492949523923,160.125,3.0,0.5339661960457636,be_stop,bpr,50
long,2026-07-02 22:00:00+00:00,2026-07-03 06:00:00+00:00,161.26800537109375,160.58787111816406,162.6699981689453,160.58787111816406,2.061347141115822,-1.0,stop,fvg,8
