direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held
long,2025-01-08 06:00:00+00:00,2025-01-08 07:00:00+00:00,1.2490320205688477,1.247146513080597,1.2528502941131592,1.247146513080597,2.025064110381247,-1.0,stop,fvg,1
long,2025-01-10 12:00:00+00:00,2025-01-10 13:00:00+00:00,1.231663703918457,1.2267183657169343,1.2434872388839722,1.2267183657169343,2.390844565873057,-1.0,stop,fvg,1
long,2025-01-13 17:00:00+00:00,2025-01-22 10:00:00+00:00,1.2174040079116821,1.2174040079116821,1.2365219593048096,1.2365219593048096,2.5424047809619474,2.1598939234146024,target,fvg,160
short,2025-01-23 08:00:00+00:00,2025-01-24 02:00:00+00:00,1.2297097444534302,1.2378559544563292,1.2128268480300903,1.2378559544563292,2.0724848018074162,-1.0,stop,fvg,18
long,2025-01-29 02:00:00+00:00,2025-01-29 10:00:00+00:00,1.2447409629821777,1.2413552921772004,1.2523167133331299,1.2413552921772004,2.2375921308754974,-1.0,stop,fvg,8
long,2025-01-30 13:00:00+00:00,2025-01-31 14:00:00+00:00,1.2470693588256836,1.2395546384334564,1.2696135200023653,1.2395546384334564,3.0,-1.0,stop,bpr,25
short,2025-02-18 04:00:00+00:00,2025-02-20 16:00:00+00:00,1.25982666015625,1.2645873071193694,1.249890685081482,1.2645873071193694,2.087106049186549,-1.0,stop,bpr,60
long,2025-03-11 00:00:00+00:00,2025-03-11 12:00:00+00:00,1.288759469985962,1.288759469985962,1.2944481372833252,1.2944481372833252,2.0244446344258367,1.5721475583585471,target,fvg,12
short,2025-04-03 15:00:00+00:00,2025-04-04 16:00:00+00:00,1.311234712600708,1.311234712600708,1.2903891801834106,1.2903891801834106,2.0010202554195082,1.7458305250218715,target,fvg,25
long,2025-04-08 02:00:00+00:00,2025-04-10 12:00:00+00:00,1.2785271406173706,1.2785271406173706,1.2940795421600342,1.2940795421600342,2.024768077198227,1.7217272037293307,target,fvg,58
long,2025-04-17 07:00:00+00:00,2025-04-21 02:00:00+00:00,1.324310302734375,1.324310302734375,1.3366435896635054,1.3366435896635054,3.0,2.0650928211063917,target,fvg,42
short,2025-04-22 16:00:00+00:00,2025-04-24 20:00:00+00:00,1.3345789909362793,1.3345789909362793,1.3165863752365112,1.3345789909362793,2.23693603080866,0.5040157027802105,be_stop,fvg,52
short,2025-04-27 23:00:00+00:00,2025-04-28 09:00:00+00:00,1.3290096521377563,1.334133608007431,1.3136377845287321,1.334133608007431,3.0,-1.0,stop,fvg,10
short,2025-04-29 10:00:00+00:00,2025-05-06 12:00:00+00:00,1.338329792022705,1.338329792022705,1.3252756595611572,1.338329792022705,2.0556574790845734,0.6503218275521604,be_stop,fvg,121
long,2025-05-13 01:00:00+00:00,2025-05-13 16:00:00+00:00,1.3185480833053589,1.3185480833053589,1.3286035060882568,1.3286035060882568,2.21329942660041,1.9263479674677133,target,fvg,15
short,2025-05-22 08:00:00+00:00,2025-05-23 05:00:00+00:00,1.3403747081756592,1.345566515278816,1.329981803894043,1.345566515278816,2.0017893722008124,-1.0,stop,fvg,21
short,2025-05-27 04:00:00+00:00,2025-05-28 03:00:00+00:00,1.3556748628616333,1.3595585232496261,1.3477634191513062,1.3477634191513062,2.0371100765625916,2.0371100765625916,target,fvg,23
short,2025-05-30 02:00:00+00:00,2025-06-02 06:00:00+00:00,1.3472548723220825,1.3513842574596404,1.3346680402755737,1.3513842574596404,3.048112885385305,-1.0,stop,fvg,27
short,2025-06-20 06:00:00+00:00,2025-06-20 12:00:00+00:00,1.346982717514038,1.3503259441852569,1.3402130603790283,1.3503259441852569,2.024887272313449,-1.0,stop,fvg,6
short,2025-06-20 19:00:00+00:00,2025-06-23 17:00:00+00:00,1.3447185754776,1.3512745629787444,1.3250506129741673,1.3512745629787444,3.0,-1.0,stop,bpr,21
short,2025-06-25 10:00:00+00:00,2025-06-25 18:00:00+00:00,1.3606922626495361,1.3650507589817047,1.3512965440750122,1.3650507589817047,2.155724786362068,-1.0,stop,fvg,8
short,2025-06-27 14:00:00+00:00,2025-07-01 08:00:00+00:00,1.371610403060913,1.3773066133260727,1.3593236207962036,1.3773066133260727,2.1570099579821433,-1.0,stop,fvg,41
short,2025-07-01 13:00:00+00:00,2025-07-02 12:00:00+00:00,1.3733999729156494,1.3733999729156494,1.361155390739441,1.361155390739441,2.1299399173011304,1.569756283986314,target,fvg,23
long,2025-07-03 06:00:00+00:00,2025-07-08 13:00:00+00:00,1.3650199174880981,1.3562862961292268,1.3912207815647122,1.3562862961292268,3.0,-1.0,stop,fvg,78
long,2025-07-09 06:00:00+00:00,2025-07-11 11:00:00+00:00,1.360377550125122,1.352433507347107,1.3788729906082153,1.352433507347107,2.32821511665054,-1.0,stop,fvg,53
short,2025-07-17 02:00:00+00:00,2025-07-21 14:00:00+00:00,1.3388673067092896,1.3484145178556441,1.3102256732702258,1.3484145178556441,3.0,-1.0,stop,fvg,59
short,2025-07-22 04:00:00+00:00,2025-07-22 15:00:00+00:00,1.3477815389633179,1.3513111675500868,1.3406982421875,1.3513111675500868,2.006810802238524,-1.0,stop,fvg,11
short,2025-07-30 12:00:00+00:00,2025-08-07 11:00:00+00:00,1.3308314085006714,1.338704887032509,1.3072109729051589,1.338704887032509,3.0,-1.0,stop,fvg,142
short,2025-08-11 07:00:00+00:00,2025-08-11 14:00:00+00:00,1.345442295074463,1.345442295074463,1.3404645919799805,1.3404645919799805,2.066323971748174,1.6330273749326982,target,fvg,7
long,2025-08-12 02:00:00+00:00,2025-08-13 08:00:00+00:00,1.343833088874817,1.3398911459445955,1.3556589176654812,1.3556589176654812,3.0,3.0,target,fvg,30
long,2025-08-22 13:00:00+00:00,2025-08-22 15:00:00+00:00,1.342209815979004,1.342209815979004,1.3498737812042236,1.3498737812042236,2.2337228470211072,1.7489678126201353,target,bpr,2
long,2025-09-04 06:00:00+00:00,2025-09-18 08:00:00+00:00,1.343562364578247,1.343562364578247,1.3740893003463743,1.3640331029891968,3.0,1.521664269557954,time,fvg,240
long,2025-09-22 06:00:00+00:00,2025-09-23 13:00:00+00:00,1.3475455045700073,1.3451550904273988,1.3531250953674316,1.3531250953674316,2.334152353757236,2.334152353757236,target,fvg,31
short,2025-10-02 12:00:00+00:00,2025-10-09 14:00:00+00:00,1.3465112447738647,1.3465112447738647,1.333173394203186,1.333173394203186,2.0578063451833253,1.5383061572594725,target,fvg,121
short,2025-10-14 06:00:00+00:00,2025-10-15 05:00:00+00:00,1.3280565738677979,1.335540916657448,1.3056035454988477,1.335540916657448,3.0,-1.0,stop,fvg,23
long,2025-10-20 03:00:00+00:00,2025-10-21 04:00:00+00:00,1.3440136909484863,1.338940165257454,1.3592342680215834,1.338940165257454,3.0,-1.0,stop,fvg,25
long,2025-10-22 02:00:00+00:00,2025-10-22 06:00:00+00:00,1.3377567529678345,1.3360594529867174,1.3416156768798828,1.3360594529867174,2.273566225758454,-1.0,stop,bpr,4
short,2025-10-24 14:00:00+00:00,2025-10-28 04:00:00+00:00,1.3301055431365967,1.336218995475769,1.3117651861190796,1.336218995475769,3.0,-1.0,stop,fvg,36
long,2025-11-05 08:00:00+00:00,2025-11-06 18:00:00+00:00,1.3045973777770996,1.3008574350833892,1.3133528232574463,1.3133528232574463,2.3410640743429365,2.3410640743429365,target,fvg,34
short,2025-11-10 15:00:00+00:00,2025-11-13 08:00:00+00:00,1.31483793258667,1.31483793258667,1.3053808212280273,1.31483793258667,2.0794692453832684,0.5509812375580636,be_stop,fvg,65
long,2025-11-28 13:00:00+00:00,2025-12-01 16:00:00+00:00,1.3226288557052612,1.3226288557052612,1.3308070441722866,1.3226288557052612,3.0,0.5305696913019604,be_stop,fvg,26
long,2025-12-08 02:00:00+00:00,2025-12-08 08:00:00+00:00,1.334115982055664,1.331610856151581,1.3416313597679135,1.331610856151581,3.0,-1.0,stop,fvg,6
long,2025-12-25 06:00:00+00:00,2025-12-26 07:00:00+00:00,1.3522651195526123,1.348620764875412,1.363198183584213,1.348620764875412,3.0,-1.0,stop,fvg,12
long,2025-12-31 12:00:00+00:00,2025-12-31 15:00:00+00:00,1.34678316116333,1.3423738980054856,1.3600109506368636,1.3423738980054856,3.0,-1.0,stop,fvg,3
short,2026-01-06 09:00:00+00:00,2026-01-07 16:00:00+00:00,1.353747844696045,1.353747844696045,1.3471097946166992,1.3471097946166992,2.0103037562333577,1.517258745119232,target,fvg,31
short,2026-01-13 14:00:00+00:00,2026-01-14 14:00:00+00:00,1.3460036516189575,1.3460036516189575,1.334840294265747,1.3460036516189575,3.0,0.5315551785061683,be_stop,fvg,24
short,2026-01-21 09:00:00+00:00,2026-01-22 16:00:00+00:00,1.3411117792129517,1.348741812801361,1.3182216784477234,1.348741812801361,3.0,-1.0,stop,bpr,31
long,2026-01-30 07:00:00+00:00,2026-01-30 09:00:00+00:00,1.3769363164901733,1.372974404144287,1.3868663311004639,1.372974404144287,2.506369082244093,-1.0,stop,fvg,2
long,2026-02-02 09:00:00+00:00,2026-02-02 13:00:00+00:00,1.3709334135055542,1.3659776224374771,1.3814635276794434,1.3659776224374771,2.124809950467703,-1.0,stop,fvg,4
long,2026-02-03 04:00:00+00:00,2026-02-05 03:00:00+00:00,1.3688504695892334,1.3621810891866684,1.3831450939178467,1.3621810891866684,2.1433211881444905,-1.0,stop,fvg,47
long,2026-02-11 03:00:00+00:00,2026-02-11 13:00:00+00:00,1.3664562702178955,1.3664562702178955,1.3767846822738647,1.3664562702178955,2.8636030385491376,0.5347214570372829,be_stop,fvg,10
long,2026-02-12 09:00:00+00:00,2026-02-13 05:00:00+00:00,1.3647778034210205,1.3602905696153642,1.3782395048379894,1.3602905696153642,3.0,-1.0,stop,bpr,20
short,2026-02-23 09:00:00+00:00,2026-02-24 15:00:00+00:00,1.3509314060211182,1.3509314060211182,1.3439595699310303,1.3509314060211182,2.4314797013269516,0.5777695337073497,be_stop,fvg,30
short,2026-03-10 18:00:00+00:00,2026-03-13 06:00:00+00:00,1.3428946733474731,1.3428946733474731,1.331788420677185,1.331788420677185,2.0186869753200605,1.633826424736855,target,fvg,60
long,2026-03-16 10:00:00+00:00,2026-03-18 20:00:00+00:00,1.3272175788879395,1.3272175788879395,1.3380789756774902,1.3272175788879395,2.0002179972419882,0.6384816503071753,be_stop,bpr,58
short,2026-03-20 03:00:00+00:00,2026-03-23 09:00:00+00:00,1.3403352499008179,1.3403352499008179,1.3273937702178955,1.3273937702178955,2.0273220058394816,1.5203094280395173,target,bpr,28
long,2026-04-14 03:00:00+00:00,2026-04-28 07:00:00+00:00,1.3516654968261719,1.340011523246765,1.3866274175643922,1.3510956764221191,3.0,-0.0488949455883132,time,fvg,240
short,2026-05-01 09:00:00+00:00,2026-05-01 12:00:00+00:00,1.3593605756759644,1.3621692518949509,1.353179931640625,1.3621692518949509,2.20055412352571,-1.0,stop,fvg,3
long,2026-05-15 10:00:00+00:00,2026-05-15 15:00:00+00:00,1.3381685018539429,1.332693536758423,1.3529053926467896,1.332693536758423,2.6916867113738574,-1.0,stop,fvg,5
short,2026-05-19 08:00:00+00:00,2026-05-20 15:00:00+00:00,1.3394052982330322,1.3452407703638076,1.321898881840706,1.3452407703638076,3.0,-1.0,stop,fvg,31
short,2026-05-22 19:00:00+00:00,2026-05-24 23:00:00+00:00,1.3440680503845215,1.346164230966568,1.3395847082138062,1.346164230966568,2.138814856465369,-1.0,stop,fvg,3
long,2026-06-08 11:00:00+00:00,2026-06-17 18:00:00+00:00,1.3361839056015015,1.3361839056015015,1.3476543426513672,1.3361839056015015,2.0035779090169923,0.5971316417089854,be_stop,bpr,174
short,2026-06-24 06:00:00+00:00,2026-06-29 15:00:00+00:00,1.3186348676681519,1.3251894538879394,1.2989711090087892,1.3251894538879394,3.0,-1.0,stop,fvg,80
short,2026-07-03 13:00:00+00:00,2026-07-06 18:00:00+00:00,1.3347749710083008,1.3388124353170394,1.3243454694747925,1.3388124353170394,2.5831811097214707,-1.0,stop,fvg,28
